Topic,Count,Name,Representation,Representative_Docs,Rank
9,795,9_mogelijk_bedoeling_mee_optie,"['mogelijk', 'bedoeling', 'mee', 'optie', 'klopt', 'geregeld', 'reden', 'oorzaak', 'komt', 'mogelijkheden']","['Hoor graag of dit mogelijk is.', 'Ik hoor graag of dit mogelijk is en hoe verder.', 'Ik hoor graag of dat mogelijk is.']",11
8,693,8_prikken_bloed_laten_bloedprikken,"['prikken', 'bloed', 'laten', 'bloedprikken', 'geprikt', 'bloedgeprikt', 'gaan', 'ziekenhuis', 'voren', 'laat']","['Ik heb overigens gisterenochtend bloed laten prikken.', 'Ik heb echter nog geen bloed laten prikken.', 'Moet ik misschien bloed laten prikken?']",12
11,652,11_hoi_prima_fijn_hallo,"['hoi', 'prima', 'fijn', 'hallo', 'bedankt', 'oke', 'bericht', 'dankjewel', 'dank', 'groetjes']","['Hoi  , dat is prima.', 'Hoi  ,  Dit is prima.', 'Hoi  ,   Dat is prima!']",13
7,642,7_humira_spuit_spuiten_zetten,"['humira', 'spuit', 'spuiten', 'zetten', 'injectie', 'gebruik', 'gespoten', 'spiegel', 'prik', 'injecties']","['Ik kan elke week humira niet aan.', 'Dit alles had ik bij de humira niet.', '( humira)     ']",14
54,638,54_hoor_graag_groetjes_groet,"['hoor', 'graag', 'groetjes', 'groet', 'vriendelijke', 'hoop', 'horen', 'hoogte', 'groeten', 'vernemen']","['Ik hoor het graag  ', 'Ik hoor graag van u.', 'Ik hoor t graag van jullie']",15
14,638,14_mail_ontvangen_bericht_sturen,"['mail', 'ontvangen', 'bericht', 'sturen', 'post', 'gestuurd', 'email', 'verstuurd', 'opsturen', 'versturen']","['Ik heb nog geen bericht ontvangen.', 'Hallo, Dit is de mail die ik heb ontvangen.', 'Zij hebben daar een mail over ontvangen.']",16
40,598,40_bedankt_dank_alvast_dankjewel,"['bedankt', 'dank', 'alvast', 'dankjewel', 'hartelijk', 'moeite', 'hulp', 'voorbaat', 'oke', 'hartstikke']","['Alvast hartelijk dank !', 'Alvast hartelijk dank.', 'Alvast hartelijk dank!']",17
24,575,24_alvast_bedankt_dank_vriendelijke,"['alvast', 'bedankt', 'dank', 'vriendelijke', 'groet', 'dankjewel', 'voorbaat', 'groetjes', 'groeten', 'hartelijk']","['Alvast bedankt met vriendelijke groet  ', 'Bedankt alvast, Met vriendelijke groet   ', 'Alvast bedankt, met vriendelijke groet,  ']",18
31,570,31_datum_middag_morgen_laat,"['datum', 'middag', 'morgen', 'laat', 'ochtend', 'gepland', 'half', 'the', 'geboortedatum', 'mogelijk']","['Datum van verzameling is  .', 'De datum is 18 november.', 'Er is nog geen datum gepland.']",19
26,563,26_tabletten_tablet_dosis_dosering,"['tabletten', 'tablet', 'dosis', 'dosering', 'daags', 'innemen', 'gram', 'slik', 'mezavant', 'gebruik']","['Nog 15 tabletten dan!', 'Ik heb nog 24 tabletten.', 'Mijn tabletten zijn bijna op.']",20
12,549,12_bloeduitslagen_bloeduitslag_bloedwaarden_uitslagen,"['bloeduitslagen', 'bloeduitslag', 'bloedwaarden', 'uitslagen', 'bloed', 'bekend', 'bloedwaardes', 'uitslag', 'bloedonderzoek', 'benieuwd']","['Zijn de bloeduitslagen al bekend.', 'De bloeduitslagen zijn volgens mij nog niet bekend.', 'zijn de bloeduitslagen al bekend?']",21
13,543,13_ontlasting_dunne_stoelgang_waterige,"['ontlasting', 'dunne', 'stoelgang', 'waterige', 'dun', 'vaste', 'aandrang', 'soms', 'buikpijn', 'keer']","['Het is ook solid ontlasting.', 'Heb wel een pluiziger ontlasting.', '), 10-15 x per dag ontlasting.']",22
10,538,10_test_thuistest_testen_gedaan,"['test', 'thuistest', 'testen', 'gedaan', 'zelftest', 'thuistesten', 'positief', 'getest', 'scannen', 'negatief']","['Zal ik doen ,ik heb nog een test.', 'Ik heb nog een test.', 'Hij scande de test niet.']",23
16,499,16_uitslag_resultaten_hiervan_bekend,"['uitslag', 'resultaten', 'hiervan', 'bekend', 'resultaat', 'daarvan', 'benieuwd', 'weten', 'duurt', 'graag']","['Heb je voor mij de uitslag?', 'Hebben jullie hier de uitslag van ?', 'Hebben jullie hier misschien al de uitslag van?']",24
15,477,15_infuus_volgende_infuuscentrum_entyvio,"['infuus', 'volgende', 'infuuscentrum', 'entyvio', 'gepland', 'krijg', 'toegediend', 'staat', 'biological', 'aanstaande']","['Ik heb 9 augustus wel mijn infuus gehad.', 'Tijdens het infuus.', 'Op 10 maar moet ik in   zijn voor mijn infuus.']",25
30,475,30_beste_dank_bericht_bedankt,"['beste', 'dank', 'bericht', 'bedankt', 'heer', 'reactie', 'hartelijk', 'geachte', 'antwoord', 'snelle']","['Beste  ,  Dank je wel voor het bericht.', 'Beste  ,  Dank voor het bericht.', 'Beste  , dank voor jouw bericht.']",26
17,454,17_calprotectine_waarde_thuistest_test,"['calprotectine', 'waarde', 'thuistest', 'test', 'bekend', 'uitslag', 'gemeten', 'gedaan', 'bepalen', 'gestegen']","['hoe is de uitslag van de calprotectine?', 'En de calprotectine?', 'En de calprotectine is ook al binnen?']",27
57,441,57_hoop_wacht_afwachten_wachten,"['hoop', 'wacht', 'afwachten', 'wachten', 'proberen', 'hopelijk', 'kijken', 'blijft', 'snel', 'hopen']","['Dan wacht ik af tot 8 augustus.', 'Oké dan wacht ik tot maandag.', 'ik hoop dat het eerder kan, ik wacht het af.']",28
19,414,19_klachten_verergerd_erger_verminderd,"['klachten', 'verergerd', 'erger', 'verminderd', 'toenemen', 'contact', 'verergeren', 'verbeterd', 'spelen', 'helaas']","['Heb geen klachten.', 'Ik hb en had ook eigenlijk geen klachten.', 'Zelf heb ik geen klachten.']",29
21,412,21_formulieren_formulier_potje_papieren,"['formulieren', 'formulier', 'potje', 'papieren', 'toestemmingsformulier', 'toesturen', 'opsturen', 'sturen', 'buisje', 'toestemming']","['Ik heb namelijk hier geen formulieren meer voor.', 'Ik heb de formulieren etc.', '  doe ik dat, ik heb nog formulieren hier.']",30
18,410,18_prednison_prednisolon_afgebouwd_afbouwen,"['prednison', 'prednisolon', 'afgebouwd', 'afbouwen', 'afbouwschema', 'starten', 'gestart', 'gebruik', 'slikken', 'slik']","['ik heb 10 dagen prednison gehad.', 'Ik neem nog 10 mg prednison.', 't/m 22-08 prednison 71/2 v.a.']",31
25,395,25_vaccinatie_vaccin_griepprik_vaccinaties,"['vaccinatie', 'vaccin', 'griepprik', 'vaccinaties', 'gevaccineerd', 'vaccineren', 'astrazeneca', 'covid', 'pfizer', 'mensen']","['Ik neig naar het  BioNTech/Pfizer vaccin omdat dit geen vector vaccin is?', 'het vaccin van  ?', '12 mei heb ik mijn tweede vaccinatie met het Moderna vaccin in het  .']",32
33,395,33_buik_onderbuik_pijn_bovenbuik,"['buik', 'onderbuik', 'pijn', 'bovenbuik', 'opgezette', 'gevoel', 'links', 'last', 'ribben', 'rechts']","['Beste,  Sinds deze week heb ik veel last van mijn buik.', 'Mijn buik doet al drie weken heel naar.', 'Ik heb veel pijn in mijn buik.']",33
28,391,28_waardes_waarde_waarden_hoog,"['waardes', 'waarde', 'waarden', 'hoog', 'gemeten', 'verhoging', 'crp', 'laag', 'gedaald', 'verhoogd']","['Wat zijn de afgelopen waardes van mijn Hb geweest?', 'mijn waardes zijn nu 139.', 'Zo ja, wat zijn deze waardes?']",34
29,387,29_fijne_weekend_feestdagen_fijn,"['fijne', 'weekend', 'feestdagen', 'fijn', 'gewenst', 'alvast', 'wensen', 'wens', 'prettige', 'gezond']","['Alvast bedankt en fijne Feestdagen.', 'Alvast bedankt en fijne feestdagen!', 'fijne weekend alvast.']",35
34,378,34_hiermee_mee_weet_hieraan,"['hiermee', 'mee', 'weet', 'hieraan', 'ondernemen', 'oplossing', 'helpen', 'beste', 'hoor', 'actie']","['Ik weet niet wat ik hiermee moet?', 'Ik weet even niet wat ik hiermee moet?', 'Weet niet zo goed wat hiermee te doen?']",36
22,374,22_poli_poliafspraak_afspraak_polie,"['poli', 'poliafspraak', 'afspraak', 'polie', 'polibezoek', 'interne', 'plannen', 'bellen', 'gepland', 'staan']","['5 juli heb ik toch n poli-afspraak bij  .', 'Ik heb morgenvrowg een afspraak op de poli', 'Er zou dan een afspraak gemaakr worden op de poli.']",37
27,373,27_darmen_darm_darmklachten_dikke,"['darmen', 'darm', 'darmklachten', 'dikke', 'last', 'rustig', 'onrustig', 'laatste', 'merk', 'darmproblemen']","['Ik heb geen last van mijn darmen.', 'Ik heb de afgelopen dagen steeds meer last van mijn darmen.', 'Ik heb sinds een week of twee/drie meer last van mijn darmen.']",38
20,360,20_crohn_ziekte_reuma_bechterew,"['crohn', 'ziekte', 'reuma', 'bechterew', 'rustig', 'combinatie', 'medicatie', 'ontstekingen', 'gerelateerd', 'ivm']","['Kan dit iets met de crohn te maken hebben en is hier iets aan te doen?', 'Zou het kunnen dat dit te maken heeft met Crohn?', 'Kan ik dit gewoon nemen of doet dit ook iets aan de crohn.']",39
23,352,23_toilet_vaker_rennen_gemiddeld,"['toilet', 'vaker', 'rennen', 'gemiddeld', 'keer', 'plassen', 'nacht', 'hoef', 'toiletbezoeken', 'gaan']","['Meestal maar 1x per dag naar toilet.', ""Ga zo'n 4 - 6x per dag naar het toilet."", 'Kan sinds maandag niet naar het toilet.']",40
91,339,91_hallo_bespreken_gisteren_gesproken,"['hallo', 'bespreken', 'gisteren', 'gesproken', 'overleg', 'hoi', 'gesprek', 'beste', 'enof', 'vorige']","['T.a.v.  ,  Goedemiddag,  Ik heb vandaag even met   gesproken betreffende mijn klachten.', 'Vorige week maandag heb met   gesproken.', 'Hoi   en  ,   Vanmorgen heb ik   gesproken op de poli.']",41
55,333,55_lang_jaar_maanden_duurt,"['lang', 'jaar', 'maanden', 'duurt', 'interval', 'minuten', 'duren', 'keer', 'wachten', 'zon']","['Het is een jaar geleden.', 'Vorig jaar moest dat iedere 4 maanden.', 'Ik weet even niet meer zeker of ik het nog een keer moest doen dit jaar.']",42
35,321,35_ibd_ibdcoach_periodieke_gezondheidscheck,"['ibd', 'ibdcoach', 'periodieke', 'gezondheidscheck', 'vragenlijst', 'vullen', 'check', 'team', 'invullen', 'sessie']","['Hallo,  Is het mogelijk om de periodieke gezondheidscheck om de 3 maanden in te vullen?', 'Ik kreeg vandaag het verzoek om de periodieke vragenlijst in Mijn IBD Coach in te vullen.', 'Goede morgen Ibdcoach.']",43
38,314,38_spuit_spuiten_zetten_vloeistof,"['spuit', 'spuiten', 'zetten', 'vloeistof', 'gezet', 'gespoten', 'zet', 'hyrimoz', 'naald', 'druppels']","['Dan spuit ik a.s. maandag weer.', 'Aangezien het ook een spuit is.', ' , Ik heb afgelopen maandag de tweede spuit om de zes weken gehad.']",44
42,313,42_vermoeidheid_moe_energie_vermoeid,"['vermoeidheid', 'moe', 'energie', 'vermoeid', 'voel', 'merk', 'vermoeidheidsklachten', 'inspanning', 'fit', 'sporten']","['Weinig energie en moe.', 'Beste,   De laatste tijd heb ik weinig energie en voel ik me vaak moe.', 'Maar ik heb wel last van vermoeidheid, geen energie.']",45
44,308,44_buikpijn_opgeblazen_maagklachten_last,"['buikpijn', 'opgeblazen', 'maagklachten', 'last', 'gevoel', 'ontzettende', 'maagstreek', 'buik', 'maagpijn', 'pijn']","['Af en toe nog wat buikpijn.', 'Ja ik heb ook elke dag buikpijn.', 'Minder buikpijn.']",46
39,308,39_operatie_geopereerd_chirurg_chirurgie,"['operatie', 'geopereerd', 'chirurg', 'chirurgie', 'herstel', 'opereren', 'kaakchirurg', 'plaatsvinden', 'anesthesist', 'narcose']","['Nu hoor ik net dat mijn operatie pas over 3 weken.', 'Hoi   of   afgelopen maandag mijn operatie gehad.', 'Graag zou ik nu weten wat dat voor een operatie zou zijn.']",47
119,306,119_doorgeven_melden_wilde_weten,"['doorgeven', 'melden', 'wilde', 'weten', 'bespreken', 'genformeerd', 'hopende', 'voldoende', 'graag', 'vandaar']","['maar wilde dit toch even aan je melden.', 'Wilde het toch even melden.', 'Ik wilde dit even melden.']",48
121,303,121_hum_hpm_tel_gebdatum,"['hum', 'hpm', 'tel', 'gebdatum', 'geboortedatum', 'groet', 'fax', 'gebdat', 'kollar', 'stappen']","['groet, HUM      ', 'Groet, HUM  ', 'groet,  HUM     tel  ']",49
37,297,37_vraag_vragen_vraagje_vraagjes,"['vraag', 'vragen', 'vraagje', 'vraagjes', 'tweetal', 'navragen', 'aantal', 'hallo', 'daarnaast', 'stellen']","['Hallo...ik heb een vraagje.', 'Hallo, Ik heb een vraagje.', 'Hallo,  Ik heb even een vraagje.']",50
45,291,45_vakantie_vertrek_nederland_reizen,"['vakantie', 'vertrek', 'nederland', 'reizen', 'terug', 'gaan', 'geboekt', 'griekenland', 'eind', 'rijden']","['Ik ga vrijdag namelijk op vakantie.', 'Ik ben dan eigenlijk al op vakantie.....', 'Ik ga over 2 weken op vakantie.']",51
41,289,41_zwanger_gynaecoloog_zwangerschap_bevallen,"['zwanger', 'gynaecoloog', 'zwangerschap', 'bevallen', 'miskraam', 'keizersnede', 'verloskundige', 'ongesteld', 'dochter', 'baby']","['Over 2 weken (week 25) ben ik weer 8 weken zwanger.', 'Ik ben bijna 15 weken zwanger.', 'Ik ben nu 28,5 zwanger.']",52
82,288,82_consult_telefonisch_spreekuur_psycholoog,"['consult', 'telefonisch', 'spreekuur', 'psycholoog', 'gesprek', 'telefonische', 'contact', 'afspraak', 'bespreken', 'second']","['Mag ook een telefonisch consult zijn.', 'Of wordt dit een telefonisch consult?', 'Ik had eigenlijk afgelopen maandag een telefonisch consult.']",53
53,287,53_voel_voelde_echt_slecht,"['voel', 'voelde', 'echt', 'slecht', 'lekker', 'voelen', 'moedeloos', 'beter', 'ziek', 'goed']","['Verder voel ik me goed!', 'Voel mij ook heel goed.', 'Ik voel me redelijk.']",54
67,279,67_werk_werken_thuis_werkgever,"['werk', 'werken', 'thuis', 'werkgever', 'school', 'kinderen', 'onderwijs', 'kinderdagverblijf', 'baan', 'stage']","['Wel ben ik weer meer aan het werk in mijn horecazaak.', 'Ik werk in het basisonderwijs.', 'Ik werk namelijk van ma t/m vr.']",55
36,277,36_purinethol_nieuw_recept_herhaalrecept,"['purinethol', 'nieuw', 'recept', 'herhaalrecept', 'puri', 'nethol', 'allopurinol', 'aanvragen', 'bestellen', 'apotheek']","['Beste, graag krijg ik een recept voor purinethol.', 'Beste,  Zou ik weer een recept mogen krijgen voor de purinethol?', 'Het gaat om de purinethol.']",56
58,274,58_pijn_pijnlijk_erger_zenuwpijn,"['pijn', 'pijnlijk', 'erger', 'zenuwpijn', 'rug', 'stekende', 'onderrug', 'heftig', 'zitten', 'plek']","['Dit is ondoenlijk van wege de pijn!', 'Geen pijn meer in.', 'Is er iets wat ik kan doen tegen de pijn?']",57
52,273,52_eten_eet_voeding_gegeten,"['eten', 'eet', 'voeding', 'gegeten', 'eetlust', 'ditiste', 'voedsel', 'brood', 'drinken', 'vloeibaar']","['Wat mag ik wel/ niet eten?', 'ook na het eten.', 'Eten gaat nog redelijk goed, ik eet misschien iets minder.']",58
80,273,80_reactie_antwoord_bedankt_alvast,"['reactie', 'antwoord', 'bedankt', 'alvast', 'dank', 'tegemoet', 'dankjewel', 'hartelijk', 'zie', 'antwoorden']","['Bedankt voor je reactie!', 'Bedankt voor uw reactie!', 'Bedankt voor u reactie.']",59
43,272,43_darmonderzoek_darm_maagonderzoek_darmkanker,"['darmonderzoek', 'darm', 'maagonderzoek', 'darmkanker', 'bevolkingsonderzoek', 'onderzoek', 'dikke', 'slokdarm', 'darmen', 'maag']","['Beste,   Afgelopen vrijdag heb ik een darmonderzoek gehad.', 'Ook al heb ik dan het darmonderzoek nog niet gehad?', '9 september heb ik een darmonderzoek.']",60
60,268,60_koorts_griep_verkoudheid_verkouden,"['koorts', 'griep', 'verkoudheid', 'verkouden', 'ziek', 'koude', 'rillingen', 'temperatuur', 'verhoging', 'lichte']","['dus geen koorts.', 'Dus geen koorts.', 'Nu heb ik geen koorts meer.']",61
64,264,64_gewrichten_handen_vingers_pijn,"['gewrichten', 'handen', 'vingers', 'pijn', 'arm', 'last', 'gewrichtsklachten', 'benen', 'rug', 'linker']","['- Pijn in gewrichten/peesaanhechtingen.', 'Ik heb wel heel veel kaat van mijn handen en andere gewrichten.', 'Sinds 10 dagen heb ik veel last van mijn gewrichten in mijn handen en doen mijn ellebogen veel pijn.']",62
51,261,51_bloed_ontlasting_helder_zit,"['bloed', 'ontlasting', 'helder', 'zit', 'soms', 'stoelgang', 'erbij', 'gevonden', 'rood', 'keer']","['Af en toe alleen wat bloed bij de ontlasting.', 'Nog steeds veel bloed bij de ontlasting.', 'Ik heb nog steeds bloed bij de ontlasting.']",63
50,254,50_formulieren_formulier_prikken_bloedafname,"['formulieren', 'formulier', 'prikken', 'bloedafname', 'bloedprik', 'bloedprikken', 'papieren', 'bloed', 'briefjes', 'sturen']","['Kun jij mij dan weer nieuwe formulieren sturen voor als ik weer bloed moet prikken.', 'Ik zal dan zodra Ik de formulieren heb, bloed gaan prikken.', 'Ik heb geen formulieren meer voor het prikken van het bloed.']",64
128,254,128_vraagtekens_verschil_naam_sticker,"['vraagtekens', 'verschil', 'naam', 'sticker', 'gelegd', 'besproken', 'sta', 'begrepen', 'keuze', 'genoteerd']","['Er zit wel nog een sticker met "" ""op maar ik neem aan dat de nieuwe sticker er gewoon overheen geplakt word.', ' , Sorry voor die vraagtekens, dat was niet de bedoeling!', 'Overigens die vraagtekens aan het einde van mijn vorige zin waren een emoticon met een knipoog, hahahaha, maar het systeem maakte er vraagtekens van...']",65
63,246,63_goedemorgen_goedemiddag_goedendag_goede,"['goedemorgen', 'goedemiddag', 'goedendag', 'goede', 'goedenavond', 'dames', 'morgen', 'middag', 'bedankt', 'fijn']","['Goedemorgen,  Op 19 mei jl.', 'Goedemorgen, Ah!', 'Goedemorgen,  Dat zal ik doen!']",66
90,241,90_huis_thuis_voorraad_liggen,"['huis', 'thuis', 'voorraad', 'liggen', 'stuks', 'doosje', 'vinden', 'gebruikt', 'doos', 'gekregen']","['Deze dan een paar keer zodat ik er op voorraad heb liggen.', 'Hij heeft er nog van thuis liggen.', 'Ik heb nog dat thuis liggen.']",67
108,233,108_vriendelijke_groet_alvast_geb,"['vriendelijke', 'groet', 'alvast', 'geb', 'hgl', 'groeten', 'datum', 'bedankt', 'geboorte', 'geboortedatum']","['Met vriendelijke groet,      ', 'Met vriendelijke groet,      ', 'Met vriendelijke groet,       ']",68
47,230,47_uitslagen_bekend_hiervan_inzien,"['uitslagen', 'bekend', 'hiervan', 'inzien', 'horen', 'zien', 'goed', 'doorgefaxt', 'vertellen', 'blij']","['Hoe zijn de uitslagen ?', 'Ik vroeg me af wat hier de uitslagen van waren?', 'Wat zijn de uitslagen?']",69
71,226,71_keel_hoesten_keelpijn_mond,"['keel', 'hoesten', 'keelpijn', 'mond', 'tandarts', 'neus', 'hoest', 'tandvlees', 'ontstoken', 'tong']","['Beste  / ,  Ik heb al een paar dagen last van mijn keel.', 'Ik hoest nog steeds, geen keelpijn, maar wel door het hoesten een geirriteerde  keel.', 'Ik heb wel nog last van een pijnlijke keel en hoesten.']",70
46,225,46_pentasa_granulaat_zetpillen_pentaza,"['pentasa', 'granulaat', 'zetpillen', 'pentaza', 'korrels', 'gram', 'recept', 'herhaalrecept', 'gebruik', 'nieuw']","['Ik zou graag een nieuw recept willen voor de pentasa 1 x 4 g per dag.', 'Mag ik opnieuw een recept voor de pentasa  Met vriendelijke  ', 'Pentasa granulated 2gr  ']",71
66,222,66_apotheek_fax_margraten_naam,"['apotheek', 'fax', 'margraten', 'naam', 'gegevens', 'derrein', 'jaj', 'gasthuis', 'glacisweg', 'adres']","['Ik ga nog steeds naar apotheek   in het  .', 'Mijn apotheek is   in  .', 'Mijn apotheek is    .']",72
88,221,88_dank_bedankt_bericht_info,"['dank', 'bedankt', 'bericht', 'info', 'antwoord', 'fijn', 'hartelijk', 'dankjewel', 'merci', 'super']","[' , dank voor jouw bericht.', 'Dank je wel voor je bericht,  .', ' , dank voor je bericht.']",73
103,219,103_ziekenhuis_ontslagen_opgenomen_echo,"['ziekenhuis', 'ontslagen', 'opgenomen', 'echo', 'ambulance', 'komen', 'lig', 'hulp', 'spoedeisende', 'huisartsenpost']","['Hij moet dan toch om 12 uur in het ziekenhuis zijn.', 'Ik ben vrijdag weer in het ziekenhuis.', 'Dan ben ik maandag gewoon in het ziekenhuis.']",74
48,218,48_mri_scan_mriscan_ctscan,"['mri', 'scan', 'mriscan', 'ctscan', 'uitslag', 'gemaakt', 'gepland', 'ingepland', 'bespreken', 'scans']","['Hallo,   agelopen zaterdag   ben ik voor de MRI scan geweest!', 'Hallo  /   Ik heb op 8 april a.s een MRI scan.', 'Uitslag mri scan.']",75
65,218,65_bloedverlies_bloed_helder_bloedingen,"['bloedverlies', 'bloed', 'helder', 'bloedingen', 'verlies', 'afvegen', 'rood', 'zat', 'spoortje', 'bloedbeeld']","['Dan wel met veel bloedverlies.', 'Ik heb nog steeds bloedverlies.', 'En veel bloedverlies.']",76
70,215,70_advies_adviseren_tips_helpen,"['advies', 'adviseren', 'tips', 'helpen', 'graag', 'adviezen', 'hiermee', 'raad', 'raden', 'geven']","['Hebben jullie een advies voor mij?', 'Wat is jullie advies hierin?', 'Wat is jullie advies in deze?']",77
61,210,61_antibiotica_kuur_antibioticakuur_bacterie,"['antibiotica', 'kuur', 'antibioticakuur', 'bacterie', 'probiotica', 'gekregen', 'voorgeschreven', 'infectie', 'antibioticum', 'blaasontsteking']","['Hoi  ,  ik ben bij de huisarts geweest en heb een antibiotica kuur van 5 dagen gekregen.', 'Nee geen antibiotica kuur gehad.', 'Ik heb antibiotica gekregen.']",78
49,201,49_endoscopie_afdeling_gepland_datum,"['endoscopie', 'afdeling', 'gepland', 'datum', 'ingepland', 'staat', 'voorbereiding', 'afspraak', 'plaatsvinden', 'endeldarm']","['Op 19 juni heb ik een endoscopie gehad.', 'Op woensdag 11 maart heb ik in   een endoscopie gehad.', 'Ik heb 7 April een endoscopie gehad.']",79
69,201,69_ontsteking_ontstekingswaarde_ontstekingen_ontstekingswaarden,"['ontsteking', 'ontstekingswaarde', 'ontstekingen', 'ontstekingswaarden', 'actief', 'ontstekingswaardes', 'hoog', 'reuma', 'zien', 'voorkomen']","['De ontsteking is nl.', 'de ontsteking lijkt niet minder te worden.', 'De ontsteking is nu wel weer weg.']",80
76,200,76_snelle_reactie_dank_bedankt,"['snelle', 'reactie', 'dank', 'bedankt', 'antwoord', 'handelen', 'dankjewel', 'snel', 'reageert', 'hartelijk']","['Dag  ,  bedankt voor de snelle reactie!', 'Ok  , bedankt voor je snelle reactie.', ' ,  Bedankt voor de snelle reactie.']",81
56,198,56_paracetamol_tramadol_helpt_pijnstillers,"['paracetamol', 'tramadol', 'helpt', 'pijnstillers', 'pijn', 'ibuprofen', 'pijnstiller', 'diclofenac', 'voorgeschreven', 'onderdrukken']","['En is er, buiten paracetamol, iets tegen de pijn te doen?', 'mag ik paracetamol/ibubrofen?', '  iedere dag vier paracetamol van 500mg.']",82
72,193,72_onderzoek_onderzoeken_meedoen_bevolkingsonderzoek,"['onderzoek', 'onderzoeken', 'meedoen', 'bevolkingsonderzoek', 'genteresseerd', 'darmkanker', 'studie', 'mee', 'roesje', 'deel']","['Zou graag mijn bijdrage aan dit onderzoek willen doen.', 'Zelf zou ik graag een onderzoek willen en welke maakt mij niet uit.', 'Wat heeft dit onderzoek uitgewezen?']",83
124,191,124_mvrgr_mvg_mvgr_grt,"['mvrgr', 'mvg', 'mvgr', 'grt', 'beckers', 'will', 'boden', 'experimenteren', 'overmacht', 'mpg']","['Mvrgr,  ', 'Mvrgr,   ( )', 'MVRGR,    ']",84
97,191,97_esomeprazol_omeprazol_dgs_daags,"['esomeprazol', 'omeprazol', 'dgs', 'daags', 'pantoprazol', 'capsules', 'chew', 'mesalazine', 'sulfasalazine', 'loperamide']","['Esomeprazol heb ik voorgeschreven gekregen door  .', 'Hallo ik had graag een recept voor esomeprazol 40 mg .', 'Voor de Esomeprazol Aristo, 40 mg.']",85
101,188,101_brief_ontvangen_verwijsbrief_brieven,"['brief', 'ontvangen', 'verwijsbrief', 'brieven', 'handtekening', 'briefjes', 'verschijnen', 'stempel', 'post', 'voorzien']","['Dus als dat zo is zou ik dan zo’n brief kunnen ontvangen?', 'Hallo,  Ik heb de brief m.tb.t.', ' ,   Deze brief heb ik.']",86
