Topic,Count,Name,Representation,Representative_Docs,Rank,Translation,Category
9,795,9_mogelijk_bedoeling_mee_optie,"['mogelijk', 'bedoeling', 'mee', 'optie', 'klopt', 'geregeld', 'reden', 'oorzaak', 'komt', 'mogelijkheden']","['Hoor graag of dit mogelijk is.', 'Ik hoor graag of dit mogelijk is en hoe verder.', 'Ik hoor graag of dat mogelijk is.']",11,"['possible', 'intention', 'with', 'option', 'correct', 'arranged', 'reason', 'cause', 'comes', 'problem']",Non-Medical
8,693,8_prikken_bloed_laten_bloedprikken,"['prikken', 'bloed', 'laten', 'bloedprikken', 'geprikt', 'bloedgeprikt', 'gaan', 'ziekenhuis', 'voren', 'laat']","['Ik heb overigens gisterenochtend bloed laten prikken.', 'Ik heb echter nog geen bloed laten prikken.', 'Moet ik misschien bloed laten prikken?']",12,"['blood draw', 'blood', 'have done', 'blood draw', 'blood drawn', 'blood drawn', 'hospital', 'go', 'before', 'have done']",Medical
11,652,11_hoi_prima_fijn_hallo,"['hoi', 'prima', 'fijn', 'hallo', 'bedankt', 'oke', 'bericht', 'dankjewel', 'dank', 'groetjes']","['Hoi  , dat is prima.', 'Hoi  ,  Dit is prima.', 'Hoi  ,   Dat is prima!']",13,"['hi', 'fine', 'nice', 'hello', 'thanks', 'okay', 'message', 'thank you', 'thanks', 'greetings']",Non-Medical
7,642,7_humira_spuit_spuiten_zetten,"['humira', 'spuit', 'spuiten', 'zetten', 'injectie', 'gebruik', 'gespoten', 'spiegel', 'prik', 'injecties']","['Ik kan elke week humira niet aan.', 'Dit alles had ik bij de humira niet.', '( humira)     ']",14,"['humira', 'pen', 'inject', 'inject', 'injection', 'use', 'injected', 'drug level', 'shot', 'injections']",Medical
54,638,54_hoor_graag_groetjes_groet,"['hoor', 'graag', 'groetjes', 'groet', 'vriendelijke', 'hoop', 'horen', 'hoogte', 'groeten', 'vernemen']","['Ik hoor het graag  ', 'Ik hoor graag van u.', 'Ik hoor t graag van jullie']",15,"['hear', 'please', 'greetings', 'regards', 'kind', 'hope', 'hear_back', 'updated', 'greetings', 'let_me_know']",Non-Medical
14,638,14_mail_ontvangen_bericht_sturen,"['mail', 'ontvangen', 'bericht', 'sturen', 'post', 'gestuurd', 'email', 'verstuurd', 'opsturen', 'versturen']","['Ik heb nog geen bericht ontvangen.', 'Hallo, Dit is de mail die ik heb ontvangen.', 'Zij hebben daar een mail over ontvangen.']",16,"['mail', 'receive', 'message', 'send', 'post', 'sent', 'email', 'sent', 'send', 'send']",Non-Medical
40,598,40_bedankt_dank_alvast_dankjewel,"['bedankt', 'dank', 'alvast', 'dankjewel', 'hartelijk', 'moeite', 'hulp', 'voorbaat', 'oke', 'hartstikke']","['Alvast hartelijk dank !', 'Alvast hartelijk dank.', 'Alvast hartelijk dank!']",17,"['thanks', 'thanks', 'already', 'thank you', 'thanks', 'effort', 'help', 'in advance', 'okay', 'thank you very much']",Non-Medical
24,575,24_alvast_bedankt_dank_vriendelijke,"['alvast', 'bedankt', 'dank', 'vriendelijke', 'groet', 'dankjewel', 'voorbaat', 'groetjes', 'groeten', 'hartelijk']","['Alvast bedankt met vriendelijke groet  ', 'Bedankt alvast, Met vriendelijke groet   ', 'Alvast bedankt, met vriendelijke groet,  ']",18,"['already', 'thanks', 'thank you', 'kind regards', 'thank you', 'in advance', 'greetings', 'greetings', 'kind regards']",Non-Medical
31,570,31_datum_middag_morgen_laat,"['datum', 'middag', 'morgen', 'laat', 'ochtend', 'gepland', 'half', 'the', 'geboortedatum', 'mogelijk']","['Datum van verzameling is  .', 'De datum is 18 november.', 'Er is nog geen datum gepland.']",19,"['date', 'afternoon', 'tomorrow', 'late', 'morning', 'scheduled', 'half', 'the', 'date of birth', 'possible']",Non-Medical
26,563,26_tabletten_tablet_dosis_dosering,"['tabletten', 'tablet', 'dosis', 'dosering', 'daags', 'innemen', 'gram', 'slik', 'mezavant', 'gebruik']","['Nog 15 tabletten dan!', 'Ik heb nog 24 tabletten.', 'Mijn tabletten zijn bijna op.']",20,"['tablets', 'tablet', 'dose', 'dosage', 'daily', 'take', 'gram', 'take', 'mezavant', 'use']",Medical
12,549,12_bloeduitslagen_bloeduitslag_bloedwaarden_uitslagen,"['bloeduitslagen', 'bloeduitslag', 'bloedwaarden', 'uitslagen', 'bloed', 'bekend', 'bloedwaardes', 'uitslag', 'bloedonderzoek', 'benieuwd']","['Zijn de bloeduitslagen al bekend.', 'De bloeduitslagen zijn volgens mij nog niet bekend.', 'zijn de bloeduitslagen al bekend?']",21,"['blood results', 'blood result', 'blood values', 'blood', 'results', 'known', 'blood values', 'result', 'blood test', 'curious']",Medical
13,543,13_ontlasting_dunne_stoelgang_waterige,"['ontlasting', 'dunne', 'stoelgang', 'waterige', 'dun', 'vaste', 'aandrang', 'soms', 'buikpijn', 'keer']","['Het is ook solid ontlasting.', 'Heb wel een pluiziger ontlasting.', '), 10-15 x per dag ontlasting.']",22,"['stool', 'loose stool', 'bowel movement', 'watery', 'diarrhea', 'formed', 'urgency', 'sometimes', 'abdominal pain', 'times']",Medical
10,538,10_test_thuistest_testen_gedaan,"['test', 'thuistest', 'testen', 'gedaan', 'zelftest', 'thuistesten', 'positief', 'getest', 'scannen', 'negatief']","['Zal ik doen ,ik heb nog een test.', 'Ik heb nog een test.', 'Hij scande de test niet.']",23,"['test', 'home test', 'test', 'performed', 'self-test', 'home tests', 'positive', 'tested', 'scan', 'negative']",Medical
16,499,16_uitslag_resultaten_hiervan_bekend,"['uitslag', 'resultaten', 'hiervan', 'bekend', 'resultaat', 'daarvan', 'benieuwd', 'weten', 'duurt', 'graag']","['Heb je voor mij de uitslag?', 'Hebben jullie hier de uitslag van ?', 'Hebben jullie hier misschien al de uitslag van?']",24,"['result', 'results', 'of this', 'known', 'result', 'thereof', 'curious', 'know', 'takes', 'please']",Medical
15,477,15_infuus_volgende_infuuscentrum_entyvio,"['infuus', 'volgende', 'infuuscentrum', 'entyvio', 'gepland', 'krijg', 'toegediend', 'staat', 'biological', 'aanstaande']","['Ik heb 9 augustus wel mijn infuus gehad.', 'Tijdens het infuus.', 'Op 10 maar moet ik in   zijn voor mijn infuus.']",25,"['infusion', 'next', 'infusion center', 'Entyvio', 'scheduled', 'receive', 'administered', 'scheduled', 'biologic', 'upcoming']",Medical
30,475,30_beste_dank_bericht_bedankt,"['beste', 'dank', 'bericht', 'bedankt', 'heer', 'reactie', 'hartelijk', 'geachte', 'antwoord', 'snelle']","['Beste  ,  Dank je wel voor het bericht.', 'Beste  ,  Dank voor het bericht.', 'Beste  , dank voor jouw bericht.']",26,"['dear', 'thanks', 'message', 'thank you', 'sir', 'response', 'kind regards', 'dear', 'answer', 'quick']",Non-Medical
17,454,17_calprotectine_waarde_thuistest_test,"['calprotectine', 'waarde', 'thuistest', 'test', 'bekend', 'uitslag', 'gemeten', 'gedaan', 'bepalen', 'gestegen']","['hoe is de uitslag van de calprotectine?', 'En de calprotectine?', 'En de calprotectine is ook al binnen?']",27,"['calprotectin', 'value', 'home test', 'test', 'known', 'result', 'measured', 'done', 'determine', 'increased']",Medical
57,441,57_hoop_wacht_afwachten_wachten,"['hoop', 'wacht', 'afwachten', 'wachten', 'proberen', 'hopelijk', 'kijken', 'blijft', 'snel', 'hopen']","['Dan wacht ik af tot 8 augustus.', 'Oké dan wacht ik tot maandag.', 'ik hoop dat het eerder kan, ik wacht het af.']",28,"['hope', 'waiting', 'wait', 'waiting', 'try', 'hopefully', 'see', 'soon', 'remains', 'hope']",Non-Medical
19,414,19_klachten_verergerd_erger_verminderd,"['klachten', 'verergerd', 'erger', 'verminderd', 'toenemen', 'contact', 'verergeren', 'verbeterd', 'spelen', 'helaas']","['Heb geen klachten.', 'Ik hb en had ook eigenlijk geen klachten.', 'Zelf heb ik geen klachten.']",29,"['symptoms', 'worsened', 'worse', 'improved', 'increased', 'contact', 'worsen', 'improved', 'occur', 'unfortunately']",Medical
21,412,21_formulieren_formulier_potje_papieren,"['formulieren', 'formulier', 'potje', 'papieren', 'toestemmingsformulier', 'toesturen', 'opsturen', 'sturen', 'buisje', 'toestemming']","['Ik heb namelijk hier geen formulieren meer voor.', 'Ik heb de formulieren etc.', '  doe ik dat, ik heb nog formulieren hier.']",30,"['forms', 'form', 'sample container', 'papers', 'consent form', 'send', 'send', 'send', 'collection tube', 'consent']",Non-Medical
18,410,18_prednison_prednisolon_afgebouwd_afbouwen,"['prednison', 'prednisolon', 'afgebouwd', 'afbouwen', 'afbouwschema', 'starten', 'gestart', 'gebruik', 'slikken', 'slik']","['ik heb 10 dagen prednison gehad.', 'Ik neem nog 10 mg prednison.', 't/m 22-08 prednison 71/2 v.a.']",31,"['prednisone', 'prednisolone', 'tapered', 'tapering', 'tapering schedule', 'start', 'started', 'use', 'take', 'take']",Medical
25,395,25_vaccinatie_vaccin_griepprik_vaccinaties,"['vaccinatie', 'vaccin', 'griepprik', 'vaccinaties', 'gevaccineerd', 'vaccineren', 'astrazeneca', 'covid', 'pfizer', 'mensen']","['Ik neig naar het  BioNTech/Pfizer vaccin omdat dit geen vector vaccin is?', 'het vaccin van  ?', '12 mei heb ik mijn tweede vaccinatie met het Moderna vaccin in het  .']",32,"['vaccination', 'vaccine', 'flu shot', 'vaccinations', 'vaccinated', 'vaccinate', 'astrazeneca', 'covid', 'pfizer', 'people']",Medical
33,395,33_buik_onderbuik_pijn_bovenbuik,"['buik', 'onderbuik', 'pijn', 'bovenbuik', 'opgezette', 'gevoel', 'links', 'last', 'ribben', 'rechts']","['Beste,  Sinds deze week heb ik veel last van mijn buik.', 'Mijn buik doet al drie weken heel naar.', 'Ik heb veel pijn in mijn buik.']",33,"['abdomen', 'lower abdomen', 'pain', 'upper abdomen', 'bloated', 'feeling', 'discomfort', 'left', 'ribs', 'right']",Medical
28,391,28_waardes_waarde_waarden_hoog,"['waardes', 'waarde', 'waarden', 'hoog', 'gemeten', 'verhoging', 'crp', 'laag', 'gedaald', 'verhoogd']","['Wat zijn de afgelopen waardes van mijn Hb geweest?', 'mijn waardes zijn nu 139.', 'Zo ja, wat zijn deze waardes?']",34,"['values', 'value', 'values', 'high', 'measured', 'increase', 'CRP', 'low', 'decreased', 'elevated']",Medical
29,387,29_fijne_weekend_feestdagen_fijn,"['fijne', 'weekend', 'feestdagen', 'fijn', 'gewenst', 'alvast', 'wensen', 'wens', 'prettige', 'gezond']","['Alvast bedankt en fijne Feestdagen.', 'Alvast bedankt en fijne feestdagen!', 'fijne weekend alvast.']",35,"['nice', 'weekend', 'holidays', 'good', 'wished', 'already', 'wishes', 'wish', 'pleasant', 'healthy']",Non-Medical
34,378,34_hiermee_mee_weet_hieraan,"['hiermee', 'mee', 'weet', 'hieraan', 'ondernemen', 'oplossing', 'helpen', 'beste', 'hoor', 'actie']","['Ik weet niet wat ik hiermee moet?', 'Ik weet even niet wat ik hiermee moet?', 'Weet niet zo goed wat hiermee te doen?']",36,"['with_this', 'with_it', 'know', 'regarding_this', 'take_action', 'solution', 'help', 'best', 'hear', 'action']",Medical
22,374,22_poli_poliafspraak_afspraak_polie,"['poli', 'poliafspraak', 'afspraak', 'polie', 'polibezoek', 'interne', 'plannen', 'bellen', 'gepland', 'staan']","['5 juli heb ik toch n poli-afspraak bij  .', 'Ik heb morgenvrowg een afspraak op de poli', 'Er zou dan een afspraak gemaakr worden op de poli.']",37,"['outpatient', 'outpatient appointment', 'appointment', 'clinic', 'clinic visit', 'internal medicine', 'schedule', 'call', 'scheduled', 'listed']",Non-Medical
27,373,27_darmen_darm_darmklachten_dikke,"['darmen', 'darm', 'darmklachten', 'dikke', 'last', 'rustig', 'onrustig', 'laatste', 'merk', 'darmproblemen']","['Ik heb geen last van mijn darmen.', 'Ik heb de afgelopen dagen steeds meer last van mijn darmen.', 'Ik heb sinds een week of twee/drie meer last van mijn darmen.']",38,"['intestines', 'intestine', 'bowel symptoms', 'large intestine', 'discomfort', 'calm', 'restless', 'recent', 'notice', 'bowel problems']",Medical
20,360,20_crohn_ziekte_reuma_bechterew,"['crohn', 'ziekte', 'reuma', 'bechterew', 'rustig', 'combinatie', 'medicatie', 'ontstekingen', 'gerelateerd', 'ivm']","['Kan dit iets met de crohn te maken hebben en is hier iets aan te doen?', 'Zou het kunnen dat dit te maken heeft met Crohn?', 'Kan ik dit gewoon nemen of doet dit ook iets aan de crohn.']",39,"['crohn', 'disease', 'rheumatism', 'bechterew', 'stable', 'combination', 'medication', 'inflammation', 'related', 'due to']",Medical
23,352,23_toilet_vaker_rennen_gemiddeld,"['toilet', 'vaker', 'rennen', 'gemiddeld', 'keer', 'plassen', 'nacht', 'hoef', 'toiletbezoeken', 'gaan']","['Meestal maar 1x per dag naar toilet.', ""Ga zo'n 4 - 6x per dag naar het toilet."", 'Kan sinds maandag niet naar het toilet.']",40,"['toilet', 'more often', 'rush', 'average', 'times', 'urinate', 'night', 'need to', 'go', 'toilet visits']",Medical
91,339,91_hallo_bespreken_gisteren_gesproken,"['hallo', 'bespreken', 'gisteren', 'gesproken', 'overleg', 'hoi', 'gesprek', 'beste', 'enof', 'vorige']","['T.a.v.  ,  Goedemiddag,  Ik heb vandaag even met   gesproken betreffende mijn klachten.', 'Vorige week maandag heb met   gesproken.', 'Hoi   en  ,   Vanmorgen heb ik   gesproken op de poli.']",41,"['hello', 'discuss', 'yesterday', 'spoken', 'consultation', 'hi', 'conversation', 'dear', 'and_or', 'previous']",Non-Medical
55,333,55_lang_jaar_maanden_duurt,"['lang', 'jaar', 'maanden', 'duurt', 'interval', 'minuten', 'duren', 'keer', 'wachten', 'zon']","['Het is een jaar geleden.', 'Vorig jaar moest dat iedere 4 maanden.', 'Ik weet even niet meer zeker of ik het nog een keer moest doen dit jaar.']",42,"['long', 'year', 'months', 'takes', 'interval', 'minutes', 'lasts', 'times', 'age', 'waiting']",Medical
35,321,35_ibd_ibdcoach_periodieke_gezondheidscheck,"['ibd', 'ibdcoach', 'periodieke', 'gezondheidscheck', 'vragenlijst', 'vullen', 'check', 'team', 'invullen', 'sessie']","['Hallo,  Is het mogelijk om de periodieke gezondheidscheck om de 3 maanden in te vullen?', 'Ik kreeg vandaag het verzoek om de periodieke vragenlijst in Mijn IBD Coach in te vullen.', 'Goede morgen Ibdcoach.']",43,"['ibd', 'ibd_coach', 'periodic', 'health_check', 'questionnaire', 'fill_in', 'check', 'team', 'complete', 'session']",Medical
38,314,38_spuit_spuiten_zetten_vloeistof,"['spuit', 'spuiten', 'zetten', 'vloeistof', 'gezet', 'gespoten', 'zet', 'hyrimoz', 'naald', 'druppels']","['Dan spuit ik a.s. maandag weer.', 'Aangezien het ook een spuit is.', ' , Ik heb afgelopen maandag de tweede spuit om de zes weken gehad.']",44,"['injection', 'injecting', 'administer', 'fluid', 'administered', 'injected', 'give_injection', 'hyrimoz', 'needle', 'drops']",Medical
42,313,42_vermoeidheid_moe_energie_vermoeid,"['vermoeidheid', 'moe', 'energie', 'vermoeid', 'voel', 'merk', 'vermoeidheidsklachten', 'inspanning', 'fit', 'sporten']","['Weinig energie en moe.', 'Beste,   De laatste tijd heb ik weinig energie en voel ik me vaak moe.', 'Maar ik heb wel last van vermoeidheid, geen energie.']",45,"['fatigue', 'tired', 'energy', 'fatigued', 'feel', 'notice', 'fatigue_symptoms', 'effort', 'fit', 'exercise']",Medical
44,308,44_buikpijn_opgeblazen_maagklachten_last,"['buikpijn', 'opgeblazen', 'maagklachten', 'last', 'gevoel', 'ontzettende', 'maagstreek', 'buik', 'maagpijn', 'pijn']","['Af en toe nog wat buikpijn.', 'Ja ik heb ook elke dag buikpijn.', 'Minder buikpijn.']",46,"['abdominal_pain', 'bloated', 'stomach_complaints', 'discomfort', 'feeling', 'severe', 'upper_abdomen', 'abdomen', 'stomach_pain', 'pain']",Medical
39,308,39_operatie_geopereerd_chirurg_chirurgie,"['operatie', 'geopereerd', 'chirurg', 'chirurgie', 'herstel', 'opereren', 'kaakchirurg', 'plaatsvinden', 'anesthesist', 'narcose']","['Nu hoor ik net dat mijn operatie pas over 3 weken.', 'Hoi   of   afgelopen maandag mijn operatie gehad.', 'Graag zou ik nu weten wat dat voor een operatie zou zijn.']",47,"['surgery', 'operated', 'surgeon', 'surgery_department', 'recovery', 'operate', 'oral_surgeon', 'take_place', 'anesthesiologist', 'anesthesia']",Medical
119,306,119_doorgeven_melden_wilde_weten,"['doorgeven', 'melden', 'wilde', 'weten', 'bespreken', 'genformeerd', 'hopende', 'voldoende', 'graag', 'vandaar']","['maar wilde dit toch even aan je melden.', 'Wilde het toch even melden.', 'Ik wilde dit even melden.']",48,"['pass_on', 'report', 'wanted', 'know', 'discuss', 'informed', 'hoping', 'sufficiently', 'please', 'therefore']",Medical
121,303,121_hum_hpm_tel_gebdatum,"['hum', 'hpm', 'tel', 'gebdatum', 'geboortedatum', 'groet', 'fax', 'gebdat', 'kollar', 'stappen']","['groet, HUM      ', 'Groet, HUM  ', 'groet,  HUM     tel  ']",49,"['hum', 'hpm', 'phone', 'dob', 'date_of_birth', 'greeting', 'fax', 'dob_alt', 'kollar', 'steps']",Non-Medical
37,297,37_vraag_vragen_vraagje_vraagjes,"['vraag', 'vragen', 'vraagje', 'vraagjes', 'tweetal', 'navragen', 'aantal', 'hallo', 'daarnaast', 'stellen']","['Hallo...ik heb een vraagje.', 'Hallo, Ik heb een vraagje.', 'Hallo,  Ik heb even een vraagje.']",50,"['question', 'questions', 'small_question', 'questions_small', 'a_few', 'ask_about', 'number', 'hello', 'besides_that', 'ask']",Non-Medical
45,291,45_vakantie_vertrek_nederland_reizen,"['vakantie', 'vertrek', 'nederland', 'reizen', 'terug', 'gaan', 'geboekt', 'griekenland', 'eind', 'rijden']","['Ik ga vrijdag namelijk op vakantie.', 'Ik ben dan eigenlijk al op vakantie.....', 'Ik ga over 2 weken op vakantie.']",51,"['holiday', 'departure', 'netherlands', 'traveling', 'return', 'go', 'booked', 'greece', 'end', 'driving']",Medical
41,289,41_zwanger_gynaecoloog_zwangerschap_bevallen,"['zwanger', 'gynaecoloog', 'zwangerschap', 'bevallen', 'miskraam', 'keizersnede', 'verloskundige', 'ongesteld', 'dochter', 'baby']","['Over 2 weken (week 25) ben ik weer 8 weken zwanger.', 'Ik ben bijna 15 weken zwanger.', 'Ik ben nu 28,5 zwanger.']",52,"['pregnant', 'gynecologist', 'pregnancy', 'gave_birth', 'miscarriage', 'c_section', 'midwife', 'menstruating', 'daughter', 'baby']",Medical
82,288,82_consult_telefonisch_spreekuur_psycholoog,"['consult', 'telefonisch', 'spreekuur', 'psycholoog', 'gesprek', 'telefonische', 'contact', 'afspraak', 'bespreken', 'second']","['Mag ook een telefonisch consult zijn.', 'Of wordt dit een telefonisch consult?', 'Ik had eigenlijk afgelopen maandag een telefonisch consult.']",53,"['consult', 'phone', 'clinic_hours', 'psychologist', 'conversation', 'telephone', 'contact', 'appointment', 'discuss', 'second_opinion']",Medical
53,287,53_voel_voelde_echt_slecht,"['voel', 'voelde', 'echt', 'slecht', 'lekker', 'voelen', 'moedeloos', 'beter', 'ziek', 'goed']","['Verder voel ik me goed!', 'Voel mij ook heel goed.', 'Ik voel me redelijk.']",54,"['feel', 'felt', 'really', 'bad', 'okay', 'feeling', 'discouraged', 'better', 'sick', 'good']",Medical
67,279,67_werk_werken_thuis_werkgever,"['werk', 'werken', 'thuis', 'werkgever', 'school', 'kinderen', 'onderwijs', 'kinderdagverblijf', 'baan', 'stage']","['Wel ben ik weer meer aan het werk in mijn horecazaak.', 'Ik werk in het basisonderwijs.', 'Ik werk namelijk van ma t/m vr.']",55,"['work', 'working', 'home', 'employer', 'school', 'children', 'daycare', 'education', 'job', 'internship']",Medical
36,277,36_purinethol_nieuw_recept_herhaalrecept,"['purinethol', 'nieuw', 'recept', 'herhaalrecept', 'puri', 'nethol', 'allopurinol', 'aanvragen', 'bestellen', 'apotheek']","['Beste, graag krijg ik een recept voor purinethol.', 'Beste,  Zou ik weer een recept mogen krijgen voor de purinethol?', 'Het gaat om de purinethol.']",56,"['purinethol', 'new', 'prescription', 'repeat_prescription', 'puri', 'nethol', 'allopurinol', 'request', 'order', 'pharmacy']",Medical
58,274,58_pijn_pijnlijk_erger_zenuwpijn,"['pijn', 'pijnlijk', 'erger', 'zenuwpijn', 'rug', 'stekende', 'onderrug', 'heftig', 'zitten', 'plek']","['Dit is ondoenlijk van wege de pijn!', 'Geen pijn meer in.', 'Is er iets wat ik kan doen tegen de pijn?']",57,"['pain', 'painful', 'worse', 'nerve_pain', 'back', 'stabbing', 'lower_back', 'intense', 'sitting', 'spot']",Medical
52,273,52_eten_eet_voeding_gegeten,"['eten', 'eet', 'voeding', 'gegeten', 'eetlust', 'ditiste', 'voedsel', 'brood', 'drinken', 'vloeibaar']","['Wat mag ik wel/ niet eten?', 'ook na het eten.', 'Eten gaat nog redelijk goed, ik eet misschien iets minder.']",58,"['eating', 'eat', 'nutrition', 'eaten', 'appetite', 'dietitian', 'food', 'bread', 'drinking', 'liquid']",Medical
80,273,80_reactie_antwoord_bedankt_alvast,"['reactie', 'antwoord', 'bedankt', 'alvast', 'dank', 'tegemoet', 'dankjewel', 'hartelijk', 'zie', 'antwoorden']","['Bedankt voor je reactie!', 'Bedankt voor uw reactie!', 'Bedankt voor u reactie.']",59,"['response', 'answer', 'thank_you', 'already', 'thanks', 'towards', 'thanks_again', 'kindly', 'see', 'answers']",Non-Medical
43,272,43_darmonderzoek_darm_maagonderzoek_darmkanker,"['darmonderzoek', 'darm', 'maagonderzoek', 'darmkanker', 'bevolkingsonderzoek', 'onderzoek', 'dikke', 'slokdarm', 'darmen', 'maag']","['Beste,   Afgelopen vrijdag heb ik een darmonderzoek gehad.', 'Ook al heb ik dan het darmonderzoek nog niet gehad?', '9 september heb ik een darmonderzoek.']",60,"['bowel_exam', 'colon', 'gastroscopy', 'colon_cancer', 'screening_program', 'examination', 'large_intestine', 'esophagus', 'bowels', 'stomach']",Medical
60,268,60_koorts_griep_verkoudheid_verkouden,"['koorts', 'griep', 'verkoudheid', 'verkouden', 'ziek', 'koude', 'rillingen', 'temperatuur', 'verhoging', 'lichte']","['dus geen koorts.', 'Dus geen koorts.', 'Nu heb ik geen koorts meer.']",61,"['fever', 'flu', 'cold', 'cold_symptoms', 'sick', 'chills', 'shivering', 'temperature', 'elevated', 'mild']",Medical
64,264,64_gewrichten_handen_vingers_pijn,"['gewrichten', 'handen', 'vingers', 'pijn', 'arm', 'last', 'gewrichtsklachten', 'benen', 'rug', 'linker']","['- Pijn in gewrichten/peesaanhechtingen.', 'Ik heb wel heel veel kaat van mijn handen en andere gewrichten.', 'Sinds 10 dagen heb ik veel last van mijn gewrichten in mijn handen en doen mijn ellebogen veel pijn.']",62,"['joints', 'hands', 'fingers', 'pain', 'arm', 'discomfort', 'joint_symptoms', 'legs', 'back', 'left']",Medical
