topic_name,category
61_mogelijk_mogelijkheden_hoor_graag,medical
62_thiosix_herhaalrecept_nieuw_recept,medical
63_kilo_gewicht_afgevallen_weeg,medical
64_verzekering_zorgverzekering_risico_aanvraag,administrative
65_dermatoloog_dermatologie_doorverwijzing_verwijzing,medical
66_zalf_creme_smeren_gesmeerd,medical
67_cortiment_afbouwen_stoppen_slik,medical
68_vragenlijst_ingevuld_invullen_vragenlijsten,administrative
69_sessie_inloggen_sessies_melding,administrative
70_zorgen_bang_ongerust_begin,medical
71_hoofdpijn_duizelig_duizeligheid_hoofd,medical
72_ontsteking_ontstekingen_actief_genezen,medical
73_ogen_oogarts_oog_wijsheid,medical
74_proberen_geprobeerd_lukt_bewust,medical
75_excuses_sorry_late_vele,social
76_psylliumvezels_metamucil_suikervrij_teva,medical
77_scopie_gepland_sedatie_staat,medical
78_bijwerkingen_ciclosporine_effect_zeer,medical
79_tandarts_mond_tong_tandvlees,medical
80_vermoeidheid_vermoeidheidsklachten_last_aanwezig,medical
81_gehoord_vernomen_heden_hierover,social
82_reumatoloog_reumatologie_artrose_verwijzing,medical
83_ustekinumab_ustekinimab_the_and,medical
84_mis_gegaan_fout_misgegaan,administrative
85_azathioprine_daags_tablet_klinion,medical
86_mening_denken_akkoord_hierover,social
87_stress_rol_periode_werk,medical
88_stoma_stomaverpleegkundige_verwijderd_operatie,medical
89_voorgeschreven_geadviseerd_voorschrijven_gaf,medical
90_foto_bestand_beeld_groot,administrative
91_sporten_sport_conditie_wandelen,medical
92_oke_bedankt_komende_inhouden,administrative
93_helpen_betekenen_hoop_hiermee,administrative
94_drinken_liter_drink_water,medical
95_griepprik_griepspuit_waterpokken_griep,medical
96_maagbeschermer_maagbeschermers_kalktabletten_nieuw,medical
97_ibd_verpleegkundige_digid_chili,administrative
98_beclometason_zetpillen_beclomethason_beclametason,medical
99_mezavant_mesavant_mesalazine_calcium,medical
100_nakijken_aub_verlengen_aanpassen,administrative
101_lever_leverwaardes_leverwaarden_leverarts,medical
102_verwijzing_verwijsbrief_doorverwijzing_verwijs,administrative
103_longen_longarts_longfoto_longontsteking,medical
104_echo_hartje_zien_kloppend,medical
105_meedoen_mee_meewerken_hieraan,medical
106_opvlamming_broeien_angst_voelt,medical
107_vezels_zakjes_betere_drinken,medical
108_picoprep_moviprep_voorbereiding_opgehaald,medical
109_risicogroep_risico_val_behoor,medical
110_stelara_sterlara_injectie_stellara,medical
111_budenofalk_budesonide_stoppen_bijsluiter,medical
112_infusiecentrum_infusie_infusen_zeiden,medical
113_salofalk_stix_granu_mesalazine,medical
114_questran_cholestagel_nieuw_recept,medical
115_aambeien_aambei_inwendige_vagina,medical
116_psycholoog_psychiatrie_maatschappelijk_leren,medical
117_diaree_waterdunne_azitromycine_waterige,medical
118_entocort_afbouwen_capsules_gestart,medical
119_haaruitval_haren_kale_hoofdhuid,medical
